year,mon,day,rate
1962,1,5,3.70
1962,1,12,3.75
1962,1,19,3.80
1962,1,26,3.77
1962,2,2,3.80
1962,2,9,3.76
1962,2,16,3.71
1962,2,23,3.65
1962,3,2,3.52
1962,3,9,3.52
1962,3,16,3.52
1962,3,23,3.37
1962,3,30,3.39
1962,4,6,3.34
1962,4,13,3.38
1962,4,20,3.36
1962,4,27,3.43
1962,5,4,3.44
1962,5,11,3.38
1962,5,18,3.41
1962,5,25,3.42
1962,6,1,3.36
1962,6,8,3.34
1962,6,15,3.32
1962,6,22,3.39
1962,6,29,3.51
1962,7,6,3.59
1962,7,13,3.62
1962,7,20,3.64
1962,7,27,3.61
1962,8,3,3.59
1962,8,10,3.53
1962,8,17,3.46
1962,8,24,3.39
1962,8,31,3.40
1962,9,7,3.44
1962,9,14,3.42
1962,9,21,3.41
1962,9,28,3.37
1962,10,5,3.30
1962,10,12,3.32
1962,10,19,3.32
1962,10,26,3.36
1962,11,2,3.36
1962,11,9,3.36
1962,11,16,3.39
1962,11,23,3.42
1962,11,30,3.42
1962,12,7,3.42
1962,12,14,3.38
1962,12,21,3.34
1962,12,28,3.34
1963,1,4,3.39
1963,1,11,3.38
1963,1,18,3.36
1963,1,25,3.43
1963,2,1,3.42
1963,2,8,3.39
1963,2,15,3.39
1963,2,22,3.37
1963,3,1,3.41
1963,3,8,3.40
1963,3,15,3.40
1963,3,22,3.41
1963,3,29,3.45
1963,4,5,3.44
1963,4,12,3.46
1963,4,19,3.52
1963,4,26,3.54
1963,5,3,3.53
1963,5,10,3.52
1963,5,17,3.52
1963,5,24,3.53
1963,5,31,3.59
1963,6,7,3.63
1963,6,14,3.60
1963,6,21,3.61
1963,6,28,3.61
1963,7,5,3.68
1963,7,12,3.76
1963,7,19,3.78
1963,7,26,3.79
1963,8,2,3.76
1963,8,9,3.75
1963,8,16,3.77
1963,8,23,3.77
1963,8,30,3.79
1963,9,6,3.81
1963,9,13,3.81
1963,9,20,3.83
1963,9,27,3.82
1963,10,4,3.82
1963,10,11,3.84
1963,10,18,3.86
1963,10,25,3.89
1963,11,1,3.92
1963,11,8,3.96
1963,11,15,3.96
1963,11,22,3.94
1963,11,29,3.94
1963,12,6,3.97
1963,12,13,3.99
1963,12,20,4.04
1963,12,27,4.05
1964,1,3,4.06
1964,1,10,4.06
1964,1,17,4.04
1964,1,24,4.02
1964,1,31,4.01
1964,2,7,3.98
1964,2,14,3.98
1964,2,21,4.00
1964,2,28,4.04
1964,3,6,4.08
1964,3,13,4.09
1964,3,20,4.12
1964,3,27,4.19
1964,4,3,4.18
1964,4,10,4.16
1964,4,17,4.16
1964,4,24,4.14
1964,5,1,4.11
1964,5,8,4.08
1964,5,15,4.01
1964,5,22,4.04
1964,5,29,4.03
1964,6,5,4.02
1964,6,12,4.02
1964,6,19,4.02
1964,6,26,3.99
1964,7,3,3.96
1964,7,10,3.93
1964,7,17,3.91
1964,7,24,3.94
1964,7,31,3.93
1964,8,7,3.92
1964,8,14,3.94
1964,8,21,3.93
1964,8,28,3.94
1964,9,4,3.98
1964,9,11,4.02
1964,9,18,4.02
1964,9,25,4.00
1964,10,2,4.01
1964,10,9,4.03
1964,10,16,4.04
1964,10,23,4.02
1964,10,30,4.01
1964,11,6,4.01
1964,11,13,3.99
1964,11,20,4.01
1964,11,27,4.12
1964,12,4,4.12
1964,12,11,4.07
1964,12,18,4.06
1964,12,25,4.07
1965,1,1,4.08
1965,1,8,4.05
1965,1,15,4.03
1965,1,22,4.01
1965,1,29,4.03
1965,2,5,4.05
1965,2,12,4.08
1965,2,19,4.09
1965,2,26,4.11
1965,3,5,4.14
1965,3,12,4.16
1965,3,19,4.13
1965,3,26,4.11
1965,4,2,4.12
1965,4,9,4.11
1965,4,16,4.11
1965,4,23,4.13
1965,4,30,4.12
1965,5,7,4.10
1965,5,14,4.12
1965,5,21,4.12
1965,5,28,4.10
1965,6,4,4.10
1965,6,11,4.10
1965,6,18,4.09
1965,6,25,4.04
1965,7,2,4.06
1965,7,9,4.08
1965,7,16,4.09
1965,7,23,4.09
1965,7,30,4.10
1965,8,6,4.13
1965,8,13,4.15
1965,8,20,4.17
1965,8,27,4.18
1965,9,3,4.22
1965,9,10,4.23
1965,9,17,4.21
1965,9,24,4.24
1965,10,1,4.31
1965,10,8,4.30
1965,10,15,4.30
1965,10,22,4.34
1965,10,29,4.36
1965,11,5,4.44
1965,11,12,4.48
1965,11,19,4.45
1965,11,26,4.45
1965,12,3,4.51
1965,12,10,4.69
1965,12,17,4.83
1965,12,24,4.87
1965,12,31,4.95
1966,1,7,4.95
1966,1,14,4.87
1966,1,21,4.88
1966,1,28,4.91
1966,2,4,4.96
1966,2,11,5.01
1966,2,18,5.06
1966,2,25,5.06
1966,3,4,5.04
1966,3,11,5.02
1966,3,18,4.96
1966,3,25,4.91
1966,4,1,4.91
1966,4,8,4.83
1966,4,15,4.87
1966,4,22,4.90
1966,4,29,4.95
1966,5,6,4.98
1966,5,13,4.94
1966,5,20,4.96
1966,5,27,5.09
1966,6,3,5.08
1966,6,10,5.08
1966,6,17,5.01
1966,6,24,4.97
1966,7,1,5.14
1966,7,8,5.18
1966,7,15,5.29
1966,7,22,5.27
1966,7,29,5.29
1966,8,5,5.33
1966,8,12,5.44
1966,8,19,5.71
1966,8,26,5.99
1966,9,2,5.97
1966,9,9,5.78
1966,9,16,5.83
1966,9,23,5.91
1966,9,30,5.63
1966,10,7,5.51
1966,10,14,5.55
1966,10,21,5.48
1966,10,28,5.42
1966,11,4,5.48
1966,11,11,5.55
1966,11,18,5.58
1966,11,25,5.52
1966,12,2,5.47
1966,12,9,5.46
1966,12,16,5.22
1966,12,23,4.97
1966,12,30,4.94
1967,1,6,4.90
1967,1,13,4.80
1967,1,20,4.69
1967,1,27,4.69
1967,2,3,4.62
1967,2,10,4.65
1967,2,17,4.79
1967,2,24,4.83
1967,3,3,4.71
1967,3,10,4.62
1967,3,17,4.46
1967,3,24,4.34
1967,3,31,4.33
1967,4,7,4.30
1967,4,14,4.31
1967,4,21,4.39
1967,4,28,4.49
1967,5,5,4.53
1967,5,12,4.60
1967,5,19,4.62
1967,5,26,4.68
1967,6,2,4.58
1967,6,9,4.66
1967,6,16,4.93
1967,6,23,5.01
1967,6,30,5.06
1967,7,7,5.06
1967,7,14,5.01
1967,7,21,5.06
1967,7,28,5.11
1967,8,4,5.08
1967,8,11,5.18
1967,8,18,5.21
1967,8,25,5.33
1967,9,1,5.35
1967,9,8,5.34
1967,9,15,5.40
1967,9,22,5.45
1967,9,29,5.46
1967,10,6,5.44
1967,10,13,5.48
1967,10,20,5.54
1967,10,27,5.56
1967,11,3,5.66
1967,11,10,5.80
1967,11,17,5.73
1967,11,24,5.67
1967,12,1,5.66
1967,12,8,5.69
1967,12,15,5.71
1967,12,22,5.68
1967,12,29,5.74
1968,1,5,5.62
1968,1,12,5.49
1968,1,19,5.51
1968,1,26,5.54
1968,2,2,5.54
1968,2,9,5.62
1968,2,16,5.58
1968,2,23,5.61
1968,3,1,5.66
1968,3,8,5.72
1968,3,15,5.91
1968,3,22,5.81
1968,3,29,5.80
1968,4,5,5.58
1968,4,12,5.53
1968,4,19,5.74
1968,4,26,5.95
1968,5,3,5.99
1968,5,10,6.04
1968,5,17,6.13
1968,5,24,6.28
1968,5,31,6.05
1968,6,7,5.88
1968,6,14,5.87
1968,6,21,5.72
1968,6,28,5.79
1968,7,5,5.68
1968,7,12,5.57
1968,7,19,5.57
1968,7,26,5.41
1968,8,2,5.44
1968,8,9,5.41
1968,8,16,5.44
1968,8,23,5.44
1968,8,30,5.39
1968,9,6,5.36
1968,9,13,5.44
1968,9,20,5.37
1968,9,27,5.39
1968,10,4,5.44
1968,10,11,5.52
1968,10,18,5.52
1968,10,25,5.54
1968,11,1,5.56
1968,11,8,5.56
1968,11,15,5.57
1968,11,22,5.58
1968,11,29,5.59
1968,12,6,5.89
1968,12,13,6.02
1968,12,20,6.23
1968,12,27,6.44
1969,1,3,6.35
1969,1,10,6.37
1969,1,17,6.17
1969,1,24,6.10
1969,1,31,6.20
1969,2,7,6.26
1969,2,14,6.23
1969,2,21,6.35
1969,2,28,6.43
1969,3,7,6.49
1969,3,14,6.40
1969,3,21,6.36
1969,3,28,6.29
1969,4,4,6.26
1969,4,11,6.26
1969,4,18,6.22
1969,4,25,6.23
1969,5,2,6.35
1969,5,9,6.39
1969,5,16,6.46
1969,5,23,6.58
1969,5,30,6.68
1969,6,6,6.73
1969,6,13,6.76
1969,6,20,6.77
1969,6,27,6.99
1969,7,4,7.28
1969,7,11,7.30
1969,7,18,7.25
1969,7,25,7.36
1969,8,1,7.35
1969,8,8,7.23
1969,8,15,7.34
1969,8,22,7.24
1969,8,29,7.36
1969,9,5,7.50
1969,9,12,7.68
1969,9,19,7.81
1969,9,26,7.90
1969,10,3,8.07
1969,10,10,7.84
1969,10,17,7.49
1969,10,24,7.25
1969,10,31,7.40
1969,11,7,7.48
1969,11,14,7.61
1969,11,21,7.78
1969,11,28,7.71
1969,12,5,7.75
1969,12,12,8.05
1969,12,19,8.18
1969,12,26,8.24
1970,1,2,8.43
1970,1,9,8.35
1970,1,16,8.19
1970,1,23,8.13
1970,1,30,8.26
1970,2,6,8.05
1970,2,13,7.89
1970,2,20,7.70
1970,2,27,7.46
1970,3,6,7.23
1970,3,13,7.17
1970,3,20,7.23
1970,3,27,6.96
1970,4,3,7.10
1970,4,10,7.15
1970,4,17,7.32
1970,4,24,7.57
1970,5,1,7.81
1970,5,8,7.91
1970,5,15,7.94
1970,5,22,7.94
1970,5,29,7.97
1970,6,5,7.74
1970,6,12,7.84
1970,6,19,7.92
1970,6,26,7.86
1970,7,3,7.72
1970,7,10,7.59
1970,7,17,7.54
1970,7,24,7.53
1970,7,31,7.54
1970,8,7,7.54
1970,8,14,7.57
1970,8,21,7.47
1970,8,28,7.30
1970,9,4,7.33
1970,9,11,7.29
1970,9,18,7.11
1970,9,25,6.90
1970,10,2,6.97
1970,10,9,6.94
1970,10,16,6.94
1970,10,23,7.03
1970,10,30,6.92
1970,11,6,6.71
1970,11,13,6.57
1970,11,20,6.14
1970,11,27,5.73
1970,12,4,5.67
1970,12,11,5.69
1970,12,18,5.73
1970,12,25,5.86
1971,1,1,5.83
1971,1,8,5.92
1971,1,15,5.70
1971,1,22,5.45
1971,1,29,5.35
1971,2,5,5.31
1971,2,12,5.16
1971,2,19,4.95
1971,2,26,4.86
1971,3,5,4.78
1971,3,12,4.48
1971,3,19,4.33
1971,3,26,4.39
1971,4,2,4.60
1971,4,9,4.80
1971,4,16,5.15
1971,4,23,5.42
1971,4,30,5.64
1971,5,7,5.88
1971,5,14,5.94
1971,5,21,6.13
1971,5,28,5.92
1971,6,4,5.83
1971,6,11,6.15
1971,6,18,6.52
1971,6,25,6.45
1971,7,2,6.73
1971,7,9,6.69
1971,7,16,6.62
1971,7,23,6.79
1971,7,30,6.88
1971,8,6,6.83
1971,8,13,6.81
1971,8,20,5.96
1971,8,27,6.01
1971,9,3,5.83
1971,9,10,5.87
1971,9,17,5.93
1971,9,24,5.94
1971,10,1,5.83
1971,10,8,5.75
1971,10,15,5.54
1971,10,22,5.49
1971,10,29,5.39
1971,11,5,5.28
1971,11,12,5.35
1971,11,19,5.29
1971,11,26,5.47
1971,12,3,5.37
1971,12,10,5.31
1971,12,17,5.30
1971,12,24,5.30
1971,12,31,5.15
1972,1,7,5.17
1972,1,14,5.01
1972,1,21,5.10
1972,1,28,5.24
1972,2,4,5.32
1972,2,11,5.28
1972,2,18,5.19
1972,2,25,5.21
1972,3,3,5.24
1972,3,10,5.32
1972,3,17,5.69
1972,3,24,5.68
1972,3,31,5.79
1972,4,7,5.96
1972,4,14,5.95
1972,4,21,5.89
1972,4,28,5.71
1972,5,5,5.60
1972,5,12,5.61
1972,5,19,5.56
1972,5,26,5.46
1972,6,2,5.48
1972,6,9,5.55
1972,6,16,5.59
1972,6,23,5.69
1972,6,30,5.78
1972,7,7,5.78
1972,7,14,5.79
1972,7,21,5.78
1972,7,28,5.77
1972,8,4,5.73
1972,8,11,5.73
1972,8,18,5.74
1972,8,25,5.81
1972,9,1,5.98
1972,9,8,6.08
1972,9,15,6.08
1972,9,22,6.04
1972,9,29,6.05
1972,10,6,6.03
1972,10,13,6.04
1972,10,20,6.08
1972,10,27,6.04
1972,11,3,6.01
1972,11,10,5.95
1972,11,17,5.91
1972,11,24,5.93
1972,12,1,5.96
1972,12,8,5.96
1972,12,15,5.97
1972,12,22,6.04
1972,12,29,6.10
1973,1,5,6.15
1973,1,12,6.19
1973,1,19,6.25
1973,1,26,6.35
1973,2,2,6.48
1973,2,9,6.52
1973,2,16,6.49
1973,2,23,6.65
1973,3,2,6.74
1973,3,9,6.83
1973,3,16,6.90
1973,3,23,6.94
1973,3,30,6.81
1973,4,6,6.81
1973,4,13,6.70
1973,4,20,6.77
1973,4,27,6.82
1973,5,4,6.84
1973,5,11,6.81
1973,5,18,6.81
1973,5,25,6.86
1973,6,1,6.85
1973,6,8,6.79
1973,6,15,6.77
1973,6,22,6.81
1973,6,29,6.97
1973,7,6,7.21
1973,7,13,7.32
1973,7,20,7.53
1973,7,27,7.83
1973,8,3,8.07
1973,8,10,8.28
1973,8,17,7.96
1973,8,24,7.71
1973,8,31,7.48
1973,9,7,7.39
1973,9,14,7.51
1973,9,21,7.21
1973,9,28,6.92
1973,10,5,6.90
1973,10,12,6.77
1973,10,19,6.77
1973,10,26,6.78
1973,11,2,6.84
1973,11,9,7.11
1973,11,16,7.19
1973,11,23,6.95
1973,11,30,6.81
1973,12,7,6.91
1973,12,14,6.77
1973,12,21,6.73
1973,12,28,6.83
1974,1,4,6.85
1974,1,11,6.91
1974,1,18,6.96
1974,1,25,7.08
1974,2,1,6.94
1974,2,8,6.72
1974,2,15,6.69
1974,2,22,6.75
1974,3,1,6.92
1974,3,8,7.06
1974,3,15,7.15
1974,3,22,7.51
1974,3,29,7.74
1974,4,5,7.99
1974,4,12,8.04
1974,4,19,7.99
1974,4,26,8.08
1974,5,3,8.33
1974,5,10,8.55
1974,5,17,8.26
1974,5,24,8.09
1974,5,31,8.08
1974,6,7,8.10
1974,6,14,8.10
